# case_index: 11
# name:       Винительный мн.ч. (Galininkas Dgs.)
# question:   Кого? Что? (мн.ч.)
# usage:      Прямое дополнение во множественном числе.
# endings:    — (sg) / -us, -ius, -as, -es (pl)

# display | answer_ending | full_word | russian
Laima mato brol___. | ius | brolius | Лайма видит братьев.
Tėvas perka obuol___. | ius | obuolius | Папа покупает яблоки.
Jonas mato draug___. | us | draugus | Йонас видит друзей.
Rasa perka knyg___. | as | knygas | Раса покупает книги.
Mama myli sūn___. | us | sūnus | Мама любит сыновей.
Vaikai valgo obuol___. | ius | obuolius | Дети едят яблоки.
Mama perka agurk___. | us | agurků | Мама покупает огурцы.
Mama perka mork___. | as | morkas | Мама покупает морковь.
Tėvas mato draug___. | es | drauges | Папа видит подруг.
Aš matau senel___. | ius | senelius | Я вижу дедушек.
Jonas perka tort___. | us | tortus | Йонас покупает торты.
Rasa perka slyv___. | as | slyvas | Раса покупает сливы.
Vaikai mato sveč___. | ius | svečius | Дети видят гостей.
Petras mato aktor___. | ius | aktorius | Пятрас видит актёров.
