# case_index: 4
# name:       Винительный (Galininkas)
# question:   Кого? Что?
# usage:      Прямое дополнение — объект действия (вижу, покупаю, люблю кого/что).
# endings:    -ą, -į, -ų (sg) / -us, -ius, -as, -es (pl)

# display | answer_ending | full_word | russian
Laima mato brol___. | į | brolį | Лайма видит брата.
Jonas skaito knyg___. | ą | knygą | Йонас читает книгу.
Rasa mato draug___. | ą | draugą | Раса видит друга.
Petras mato draug___. | ę | draugę | Пятрас видит подругу.
Vaikai valgo tort___. | ą | tortą | Дети едят торт.
Aš valgau obuol___. | į | obuolį | Я ем яблоко.
Mama perka mork___. | ą | morką | Мама покупает морковь.
Jonas valgo sumuštin___. | į | sumuštinį | Йонас ест бутерброд.
Mama myli sūn___. | ų | sūnų | Мама любит сына.
Tėvas myli dukt___. | erį | dukterį | Папа любит дочь.
Rasa neša puodel___. | į | puodelį | Раса несёт чашку.
Aš geriu vand___. | enį | vandenį | Я пью воду.
Rasa perka agurk___. | ą | agurką | Раса покупает огурец.
Vaikai valgo desert___. | ą | desertą | Дети едят десерт.
Ona perka spurg___. | ą | spurgą | Она покупает пончик.
Mama perka citrin___. | ą | citriną | Мама покупает лимон.
Katė mato žuv___. | į | žuvį | Кошка видит рыбу.
Jonas neša krep___. | šį | krepšį | Йонас несёт сумку.
Vaikas valgo bandel___. | ę | bandelę | Ребёнок ест булочку.
Rasa perka slyv___. | ą | slyvą | Раса покупает сливу.
Mama perka brašk___. | ę | braškę | Мама покупает клубнику.
Jonas perka tort___. | ą | tortą | Йонас покупает торт.
Aš turiu ses___. | erį | seserį | Я имею сестру.
