# case_index: 12
# name_ru:    Творительный мн.ч. (Įnagininkas Dgs.)
# question:   С кем? С чем? (мн.ч.)
# usage:      Творительный падеж во множественном числе, совместность.
# endings_sg: —
# endings_pl: -ais, -iais, -omis, -ėmis, -umis
# transform:  -ai→-ais (namais), -iai→-iais (broliais), -os→-omis (knygomis), -ės→-ėmis (gatvėmis), -ūs→-umis (sūnumis).

# display | answer_ending | full_word | russian
Jis eina su brol___. | iais | broliais | Он идёт с братьями.
Rasa eina su draug___. | ais | draugais | Раса идёт с друзьями.
Mama atėjo su pirkin___. | iais | pirkiniais | Мама пришла с покупками.
Jonas atėjo su knyg___. | omis | knygomis | Йонас пришёл с книгами.
Petras eina su senel___. | iais | seneliais | Пятрас идёт с дедушками.
Ona atėjo su obuol___. | iais | obuoliais | Она пришла с яблоками.
Jie eina su profesor___. | iais | profesoriais | Они идут с профессорами.
Rasa atėjo su draug___. | ėmis | draugėmis | Раса пришла с подругами.
Mama atėjo su tort___. | ais | tortais | Мама пришла с тортами.
Jie eina su sūn___. | umis | sūnumis | Они идут с сыновьями.
Jonas eina su tėvel___. | iais | tėveliais | Йонас идёт с папами.
Rasa atėjo su mork___. | omis | morkomis | Раса пришла с морковкой.
