# case_index: 5
# name:       Творительный (Įnagininkas)
# question:   Кем? Чем? С кем?
# usage:      Инструмент или совместность. После предлога su (с кем/чем).
# endings:    -u, -iu, -a, -e (sg) / -ais, -iais, -omis, -ėmis, -umis (pl)

# display | answer_ending | full_word | russian
Jis eina su brol___. | iu | broliu | Он идёт с братом.
Rasa eina su draug___. | e | drauge | Раса идёт с подругой.
Jonas eina su draug___. | u | draugu | Йонас идёт с другом.
Mama eina su dukt___. | eria | dukteri | Мама идёт с дочерью.
Petras dirba su profesor___. | iumi | profesoriumi | Пятрас работает с профессором.
Jonas eina su sveč___. | iu | svečiu | Йонас идёт с гостем.
Mama eina su ses___. | eria | seseria | Мама идёт с сестрой.
Mama atėjo su tort___. | u | tortu | Мама пришла с тортом.
Rasa atėjo su obuol___. | iu | obuoliu | Раса пришла с яблоком.
Jonas atėjo su knyg___. | a | knyga | Йонас пришёл с книгой.
Petras eina su senel___. | iu | seneliu | Пятрас идёт с дедушкой.
Ona dirba su aktor___. | iumi | aktoriumi | Она работает с актёром.
Petras eina su sūn___. | umi | sūnumi | Пятрас идёт с сыном.
Rasa atėjo su citrin___. | a | citrina | Раса пришла с лимоном.
Jonas eina su tėvel___. | iu | tėveliu | Йонас идёт с папой.
Mama atėjo su pirkin___. | iu | pirkiniu | Мама пришла с покупкой.
