# case_index: 8
# name:       Именительный мн.ч. (Vardininkas Dgs.)
# question:   Кто? Что? (мн.ч.)
# usage:      Подлежащее во множественном числе.
# endings:    — (sg) / -ai, -iai, -os, -ės, -ūs, -ys (pl)

# display | answer_ending | full_word | russian
Čia yra brol___. | iai | broliai | Здесь есть братья.
Tie brol___ yra aukšti. | iai | broliai | Эти братья высокие.
Čia yra knyg___. | os | knygos | Здесь есть книги.
Tos knyg___ yra įdomios. | os | knygos | Эти книги интересные.
Čia yra obuol___. | iai | obuoliai | Здесь есть яблоки.
Tie obuol___ yra saldūs. | iai | obuoliai | Эти яблоки сладкие.
Čia yra agurk___. | ai | agurkai | Здесь есть огурцы.
Tie agurk___ yra žali. | ai | agurkai | Эти огурцы зелёные.
Čia yra tort___. | ai | tortai | Здесь есть торты.
Tie draug___ yra linksmi. | ai | draugai | Эти друзья веселые.
Čia yra draug___. | ai | draugai | Здесь есть друзья.
Tos draug___ yra geros. | ės | draugės | Эти подруги хорошие.
Čia yra sveč___. | iai | svečiai | Здесь есть гости.
Tos bažnyč___ yra senos. | ios | bažnyčios | Эти церкви старые.
Čia yra muziej___. | ūs | muziejūs | Здесь есть музеи.
Čia yra mork___. | os | morkos | Здесь есть морковь.
Čia yra brašk___. | ės | braškės | Здесь есть клубника.
Tie senel___ yra geri. | iai | seneliai | Эти дедушки хорошие.
Čia yra profesor___. | iai | profesoriai | Здесь есть профессора.
Tie turg___ yra dideli. | ūs | turgūs | Эти рынки большие.
Tie sod___ yra gražūs. | ai | sodai | Эти сады красивые.
