# Description: Покупки и сервисы

# lithuanian | english | russian | hint
apsipirkti | shop | делать покупки | veiksmažodis
apsiperka | shops | делает покупки | veiksmažodis
apsipirko | shopped | сделал покупки | veiksmažodis
centas | cent | цент | daiktavardis
cheminis drabužių valymas | dry cleaning | химчистка | daiktavardis
dydis | size | размер | daiktavardis
euras | euro | евро | daiktavardis
grožio salonas | beauty salon | салон красоты | daiktavardis
išpardavimas | sale | распродажа | daiktavardis
išsinuomoti | rent (from) | снять | veiksmažodis
išsinuomoja | rents (from) | снимает | veiksmažodis
išsinuomojo | rented (from) | снял | veiksmažodis
kaina | price | цена | daiktavardis
kainuoti | cost | стоить | veiksmažodis
kainuoja | costs | стоит | veiksmažodis
kainavo | cost | стоил | veiksmažodis
kilogramas | kilo | килограмм | daiktavardis
kirpykla | hairdresser's | парикмахерская | daiktavardis
kvitas | receipt | чек | daiktavardis
maišelis | bag | пакет | daiktavardis
matavimosi kabinos | fitting room | примерочная | daiktavardis
mokamas | paid | платный | būdvardis
mokestis | fee | плата, сбор | daiktavardis
moteriškas | womenswear | женский | būdvardis
nemokamas | free of charge | бесплатный | būdvardis
nuolaida | discount | скидка | daiktavardis
nusipirkti | buy | купить | veiksmažodis
nusiperka | buys | покупает | veiksmažodis
nusipirko | bought | купил | veiksmažodis
parduotuvė | shop | магазин | daiktavardis
pasimatuoti | try on | примерить | veiksmažodis
pasimatuoja | tries on | примеряет | veiksmažodis
pasimatavo | tried on | примерил | veiksmažodis
patrumpinti | shorten | укоротить | veiksmažodis
patrumpina | shortens | укорачивает | veiksmažodis
patrumpino | shortened | укоротил | veiksmažodis
per mažas | too small | слишком маленький | būdvardis
per trumpas | too short | слишком короткий | būdvardis
piniginė | wallet | кошелёк | daiktavardis
prekybos centras | shopping centre | торговый центр | daiktavardis
rezervuoti | reserve | зарезервировать | veiksmažodis
rezervuoja | reserves | резервирует | veiksmažodis
rezervavo | reserved | зарезервировал | veiksmažodis
sąskaita | bill | счёт | daiktavardis
savitarnos skalbykla | self-service laundry | прачечная самообслуживания | daiktavardis
siuvykla | tailor shop | ателье | daiktavardis
skalbykla | laundry | прачечная | daiktavardis
sumokėti | pay | заплатить | veiksmažodis
sumoka | pays | платит | veiksmažodis
sumokėjo | paid | заплатил | veiksmažodis
taisykla | repair shop | мастерская | daiktavardis
tikti | fit, suit | подходить | veiksmažodis
tinka | fits, suits | подходит | veiksmažodis
tiko | fitted, suited | подошёл | veiksmažodis
vaikiškas | childrenswear | детский | būdvardis
valykla | cleaner's | химчистка | daiktavardis
vyriškas | menswear | мужской | būdvardis
