# Description: Автомобиль и вождение

# lithuanian | english | russian | hint
automobilio dalys | car parts | части автомобиля | daiktavardis
automobilio draudimas | car insurance | страховка автомобиля | daiktavardis
automobilis, -io | car | автомобиль | daiktavardis
automobilių plovimas | car washing | мойка автомобиля | daiktavardis
automobilių plovykla | car wash | автомойка | daiktavardis
automobilių stovėjimo aikštelė | car park | автостоянка | daiktavardis
automobilių taisykla | car repair service | автомастерская | daiktavardis
autoservisas | car service, repair service | автосервис | daiktavardis
benzinas | petrol | бензин | daiktavardis
degalai | fuel | топливо | daiktavardis
degalinė | petrol station | заправочная станция | daiktavardis
dyzelinas | diesel | дизель | daiktavardis
greitis, -io | speed | скорость | daiktavardis
kolonėlė | fuel dispenser | колонка | daiktavardis
kuras | fuel | топливо | daiktavardis
mašina | car | машина | daiktavardis
nuoma: ilgalaikė, trumpalaikė | car rental: long-term, short-term | аренда: долгосрочная, краткосрочная | daiktavardis
padangos | tires | шины | daiktavardis
pilti, pila, pylė | refuel | заправлять | veiksmažodis
salonas | car interior | салон | daiktavardis
salono valymas | car interior cleaning | чистка салона | daiktavardis
stabdžiai | brakes | тормоза | daiktavardis
techninė pagalba kelyje | roadside assistance | помощь на дороге | daiktavardis
tepalai | lubricants | смазочные материалы | daiktavardis
vairas | steering wheel | руль | daiktavardis
vairuoti, vairuoja, vairavo | drive | водить (машину) | veiksmažodis
vairuotojo pažymėjimas | driving license | водительское удостоверение | daiktavardis
valytuvai | wipers | дворники | daiktavardis
viršyti greitį | exceed speed limit | превышать скорость | veiksmažodis
