# Description: Одежда и аксессуары

# lithuanian | english | russian | hint
akiniai | glasses | очки | daiktavardis
akiniai nuo saulės | sunglasses | солнечные очки | daiktavardis
apatiniai drabužiai | underwear | нижнее бельё | daiktavardis
auskarai | earrings | серьги | daiktavardis
avalynė | footwear | обувь | daiktavardis
basutės | sandals | сандалии | daiktavardis
batai | shoes | ботинки | daiktavardis
bateliai | court shoes, pumps | туфли | daiktavardis
diržas | belt | ремень | daiktavardis
drabužiai | clothes | одежда | daiktavardis
džemperis, -io | jumper | джемпер | daiktavardis
džinsai | jeans | джинсы | daiktavardis
glaudės | swimming trunks | плавки | daiktavardis
grandinėlė | chain | цепочка | daiktavardis
kepurė | hat, cap | шапка, кепка | daiktavardis
kelnės | trousers | брюки | daiktavardis
kišenė | pocket | карман | daiktavardis
kojinės | socks | носки | daiktavardis
kostiumas | suit | костюм | daiktavardis
kuprinė | backpack | рюкзак | daiktavardis
liemenė | waistcoat | жилет | daiktavardis
marškinėliai | T-shirt | футболка | daiktavardis
marškiniai | shirt | рубашка | daiktavardis
maudymosi kostiumėlis, -io | swimsuit | купальник | daiktavardis
megztinis, -io | sweater, jumper | свитер | daiktavardis
palaidinė | blouse | блузка | daiktavardis
paltas | coat | пальто | daiktavardis
pirštinės | gloves | перчатки | daiktavardis
rankinė | handbag | сумочка | daiktavardis
rankovė | sleeve | рукав | daiktavardis
rūbai | clothes | одежда | daiktavardis
saga | button | пуговица | daiktavardis
sijonas | skirt | юбка | daiktavardis
skėtis, -io | umbrella | зонт | daiktavardis
sportbačiai | sneakers | кроссовки | daiktavardis
striukė | jacket | куртка | daiktavardis
suknelė | dress | платье | daiktavardis
šalikas | scarf | шарф | daiktavardis
šortai | shorts | шорты | daiktavardis
švarkas | blazer, jacket | пиджак | daiktavardis
užtrauktukas | zipper | молния | daiktavardis
žiedas | ring | кольцо | daiktavardis
