# Description: Эмоции и состояния

# lithuanian | english | russian | hint
alkanas | hungry | голодный | būdvardis
džiaugsmas | joy | радость | daiktavardis
jaustis | feel | чувствовать себя | veiksmažodis
jaučiasi | feels | чувствует себя | veiksmažodis
jautėsi | felt | чувствовал себя | veiksmažodis
laimė | happiness | счастье | daiktavardis
laimingas | happy | счастливый | būdvardis
linksmas | cheerful | весёлый | būdvardis
liūdnas | sad | грустный | būdvardis
meilė | love | любовь | daiktavardis
pavargęs | tired | уставший | būdvardis
sėkmė | success | успех | daiktavardis
užsiėmęs | busy | занятый | būdvardis
