# Description: Глаголы и методы приготовления пищи

# lithuanian | english | russian | hint
keptas | baked, roast, fried, grilled | запечённый, жареный | būdvardis
kepti | fry, bake, roast, grill | жарить, печь | veiksmažodis
kepa | fries, bakes, roasts, grills | жарит, печёт | veiksmažodis
kepė | fried, baked, roasted, grilled | жарил, пёк | veiksmažodis
pietauti | have lunch | обедать | veiksmažodis
pietauja | has lunch | обедает | veiksmažodis
pietavo | had lunch | пообедал | veiksmažodis
pusryčiauti | have breakfast | завтракать | veiksmažodis
pusryčiauja | has breakfast | завтракает | veiksmažodis
pusryčiavo | had breakfast | позавтракал | veiksmažodis
ragauti | taste | пробовать (еду) | veiksmažodis
ragauja | tastes | пробует (еду) | veiksmažodis
ragavo | tasted | попробовал (еду) | veiksmažodis
rūkytas | smoked | копчёный | būdvardis
vakarienauti | have dinner | ужинать | veiksmažodis
vakarienauja | has dinner | ужинает | veiksmažodis
vakarieniavo | had dinner | поужинал | veiksmažodis
virti | boil, cook | варить | veiksmažodis
verda | boils, cooks | варит | veiksmažodis
virė | boiled, cooked | варил | veiksmažodis
virtas | boiled, cooked | варёный | būdvardis
