# Description: Общее и разное

# lithuanian | english | russian | hint
adresas | address | адрес | daiktavardis
asmens dokumentas | identity document | удостоверение личности | daiktavardis
atvirukas | postcard | открытка | daiktavardis
centimetras | centimetre | сантиметр | daiktavardis
daiktai | items | вещи | daiktavardis
dokumentas | document | документ | daiktavardis
eilė | row, queue | ряд, очередь | daiktavardis
elektroninis laiškas | email | электронное письмо | daiktavardis
gabaliukas; gabalėlis | piece | кусочек | daiktavardis
informacija | information | информация | daiktavardis
kompiuteris | computer | компьютер | daiktavardis
kopija | copy | копия | daiktavardis
kvadratinis metras | square metre | квадратный метр | daiktavardis
laikrodis | clock, watch | часы | daiktavardis
oras | air | воздух | daiktavardis
parašas | signature | подпись | daiktavardis
pavardė | surname | фамилия | daiktavardis
popieriaus lapas | sheet of paper | лист бумаги | daiktavardis
popierius | paper | бумага | daiktavardis
pusė | half | половина | daiktavardis
puslapis | page | страница | daiktavardis
spausdintuvas | printer | принтер | daiktavardis
šimtas | hundred | сто | daiktavardis
šukos | comb | расчёска | daiktavardis
telefonas | telephone | телефон | daiktavardis
telefono numeris | telephone number | номер телефона | daiktavardis
tūkstantis | thousand | тысяча | daiktavardis
užduotis | task | задание | daiktavardis
vardas | name | имя | daiktavardis
vieta | seat, place | место | daiktavardis
