# Description: Тело и здоровье

# lithuanian | english | russian | hint
akis | eye | глаз | daiktavardis
ausis | ear | ухо | daiktavardis
dantis | tooth | зуб | daiktavardis
galva | head | голова | daiktavardis
gerklė | throat | горло | daiktavardis
koja | leg | нога | daiktavardis
kraujas | blood | кровь | daiktavardis
kraujospūdis | blood pressure | кровяное давление | daiktavardis
kūnas | body | тело | daiktavardis
nosis | nose | нос | daiktavardis
nugara | back | спина | daiktavardis
pirštas | finger | палец | daiktavardis
pilvas | abdomen, belly | живот | daiktavardis
ranka | hand, arm | рука | daiktavardis
skrandis | stomach | желудок | daiktavardis
sveikata | health | здоровье | daiktavardis
širdis | heart | сердце | daiktavardis
veidas | face | лицо | daiktavardis
