# Description: Время, календарь и сезоны

# lithuanian | english | russian | hint
antradienis | Tuesday | вторник | daiktavardis
balandis | April | апрель | daiktavardis
birželis | June | июнь | daiktavardis
data | date | дата | daiktavardis
diena | day | день | daiktavardis
gegužė | May | май | daiktavardis
gruodis | December | декабрь | daiktavardis
ketvirtadienis | Thursday | четверг | daiktavardis
kovas | March | март | daiktavardis
lapkritis | November | ноябрь | daiktavardis
liepa | July | июль | daiktavardis
metai | year | год | daiktavardis
naktis | night | ночь | daiktavardis
nedarbo diena | rest day, day off | выходной день | daiktavardis
para | twenty-four hours | сутки | daiktavardis
pavasaris | spring | весна | daiktavardis
penktadienis | Friday | пятница | daiktavardis
pirmadienis | Monday | понедельник | daiktavardis
po pietų | p.m. | после полудня | prieveiksmis
poilsio diena | rest day, day off | выходной | daiktavardis
prieš pietus | a.m. | до полудня | prieveiksmis
ruduo | autumn | осень | daiktavardis
rugpjūtis | August | август | daiktavardis
rugsėjis | September | сентябрь | daiktavardis
rytas | morning | утро | daiktavardis
rytoj | tomorrow | завтра | prieveiksmis
sausis | January | январь | daiktavardis
savaitė | week | неделя | daiktavardis
savaitgalis | weekend | выходные | daiktavardis
sekmadienis | Sunday | воскресенье | daiktavardis
šeštadienis | Saturday | суббота | daiktavardis
šiandien | today | сегодня | prieveiksmis
spalis | October | октябрь | daiktavardis
trečiadienis | Wednesday | среда | daiktavardis
vakaras | evening | вечер | daiktavardis
valanda | hour | час | daiktavardis
vasara | summer | лето | daiktavardis
vasaris | February | февраль | daiktavardis
žiema | winter | зима | daiktavardis
