# Description: Досуг, культура и спорт

# lithuanian | english | russian | hint
atostogauti, atostogauja, atostogavo | be on holiday, have vacation | быть в отпуске | veiksmažodis
atostogos | holiday, vacation | отпуск, каникулы | daiktavardis
baletas | ballet | балет | daiktavardis
baseinas | swimming pool | бассейн | daiktavardis
bėgioti, bėgioja, bėgiojo | jog | бегать | veiksmažodis
dainuoti, dainuoja, dainavo | sing | петь | veiksmažodis
filmas | movie, film | фильм | daiktavardis
fortepijonas | grand piano | рояль | daiktavardis
fotografija | photography | фотография | daiktavardis
futbolas | football | футбол | daiktavardis
gitara | guitar | гитара | daiktavardis
groti, groja, grojo | play (music) | играть (на инструменте) | veiksmažodis
grybauti, grybauja, grybavo | pick mushrooms | собирать грибы | veiksmažodis
kinas | cinema | кино | daiktavardis
koncertas | concert | концерт | daiktavardis
krepšinis, -io | basketball | баскетбол | daiktavardis
laisvalaikis, -io | leisure | досуг | daiktavardis
opera | opera | опера | daiktavardis
paroda | exhibition | выставка | daiktavardis
paveikslas | painting, picture | картина | daiktavardis
pianinas | piano | пианино | daiktavardis
plaukioti, plaukioja, plaukiojo | swim | плавать | veiksmažodis
skulptūra | sculpture | скульптура | daiktavardis
slidinėti, slidinėja, slidinėjo | ski | кататься на лыжах | veiksmažodis
spektaklis, -io | play (theatre) | спектакль | daiktavardis
sportas | sport, sports | спорт | daiktavardis
sporto klubas | gym | спортзал | daiktavardis
sportuoti, sportuoja, sportavo | do sports | заниматься спортом | veiksmažodis
stadionas | stadium | стадион | daiktavardis
šachmatai | chess | шахматы | daiktavardis
šaškės | draughts | шашки | daiktavardis
šokti, šoka, šoko | dance | танцевать | veiksmažodis
teatras | theatre | театр | daiktavardis
tenisas | tennis | теннис | daiktavardis
vakarėlis, -io | party | вечеринка | daiktavardis
žaisti krepšinį | play basketball | играть в баскетбол | veiksmažodis
žaisti šaškėmis | play draughts | играть в шашки | veiksmažodis
žvejoti, žvejoja, žvejojo | fish | рыбачить | veiksmažodis
