# Description: Медицина и здравоохранение

# lithuanian | english | russian | hint
akių lašai | eye drops | глазные капли | daiktavardis
antibiotikai | antibiotics | антибиотики | daiktavardis
avarinė tarnyba | emergency service | скорая помощь | daiktavardis
ausų lašai | ear drops | ушные капли | daiktavardis
gerklės purškalas | throat spray | спрей для горла | daiktavardis
gerti vaistus | take medication | принимать лекарства | veiksmažodis
gerti vaistus po valgio | take medication after meals | принимать лекарства после еды | veiksmažodis
gerti vaistus prieš valgį | take medication before meals | принимать лекарства до еды | veiksmažodis
greitoji (pagalba) | ambulance | скорая (помощь) | daiktavardis
gulėti ligoninėje | stay in the hospital | лежать в больнице | veiksmažodis
kabinetas | consulting room | кабинет | daiktavardis
klinika | clinic | клиника | daiktavardis
kraujo tyrimas | blood test | анализ крови | daiktavardis
lašai | drops | капли | daiktavardis
ligoninė | hospital | больница | daiktavardis
ligonis | patient | пациент, пациентка | daiktavardis
nosies purškalas | nose spray | спрей для носа | daiktavardis
palata | ward | палата | daiktavardis
pasiskiepyti | be vaccinated against | прививаться от | veiksmažodis
pasiskiepija | is vaccinated against | прививается от | veiksmažodis
pasiskiepijo | was vaccinated against | привился от | veiksmažodis
pasveikti | get better, recover | выздороветь | veiksmažodis
pasveiksta | gets better, recovers | выздоравливает | veiksmažodis
pasveiko | got better, recovered | выздоровел | veiksmažodis
poliklinika | polyclinic | поликлиника | daiktavardis
purškalas | spray | спрей | daiktavardis
receptas | prescription | рецепт | daiktavardis
sirupas nuo kosulio | syrup for cough | сироп от кашля | daiktavardis
slaugytojas | nurse | медбрат, медсестра | daiktavardis
sveikatos draudimas | health insurance | медицинская страховка | daiktavardis
sveikti | get better, recover | выздоравливать | veiksmažodis
sveiksta | gets better, recovers | выздоравливает | veiksmažodis
sveiko | got better, recovered | выздоровел | veiksmažodis
šeimos gydytojas | general practitioner, family doctor | семейный врач | daiktavardis
širdies lašai | heart drops | сердечные капли | daiktavardis
šlapimo tyrimas | urine test | анализ мочи | daiktavardis
tabletė | tablet | таблетка | daiktavardis
užsiregistruoti pas gydytoją | make an appointment at the doctor's | записаться к врачу | veiksmažodis
vaistai | medication | лекарства | daiktavardis
vaistai nuo alergijos | medication for allergy | лекарства от аллергии | daiktavardis
vaistai nuo kosulio | medication for cough | лекарства от кашля | daiktavardis
vaistai nuo skausmo | painkillers | обезболивающее | daiktavardis
vaistai nuo slogos | medication for common cold | лекарства от насморка | daiktavardis
vaistai nuo temperatūros | medication for temperature | лекарства от температуры | daiktavardis
vaistinė | pharmacy | аптека | daiktavardis
veterinarijos klinika | veterinary clinic | ветеринарная клиника | daiktavardis
