# Description: Город и места

# lithuanian | english | russian | hint
aikštė | square | площадь | daiktavardis
alėja | alley | аллея | daiktavardis
ambasada | embassy | посольство | daiktavardis
bankas | bank | банк | daiktavardis
baras | bar | бар | daiktavardis
bažnyčia | church | церковь | daiktavardis
biblioteka | library | библиотека | daiktavardis
ežeras | lake | озеро | daiktavardis
gatvė | street | улица | daiktavardis
gėlė | flower | цветок | daiktavardis
jūra | sea | море | daiktavardis
kaimas | village, countryside | деревня, сельская местность | daiktavardis
kalnai | mountains | горы | daiktavardis
kavinė | cafe | кафе | daiktavardis
kepyklėlė | bakery | булочная | daiktavardis
kioskas | kiosk | киоск | daiktavardis
knygynas | bookstore | книжный магазин | daiktavardis
miestas | town | город | daiktavardis
ministerija | ministry | министерство | daiktavardis
miškas | forest | лес | daiktavardis
muziejus | museum | музей | daiktavardis
parkas | park | парк | daiktavardis
picerija | pizzeria | пиццерия | daiktavardis
pilis | castle | замок | daiktavardis
prospektas | avenue | проспект | daiktavardis
restoranas | restaurant | ресторан | daiktavardis
salė | hall | зал | daiktavardis
senamiestis | old town | старый город | daiktavardis
sodyba | summer house, homestead | усадьба | daiktavardis
sostinė | capital | столица | daiktavardis
stadionas | stadium | стадион | daiktavardis
tiltas | bridge | мост | daiktavardis
turgus | market | рынок | daiktavardis
upė | river | река | daiktavardis
valgykla | canteen | столовая | daiktavardis
vaistinė | pharmacy | аптека | daiktavardis
viešbutis | hotel | гостиница | daiktavardis
