# Description: Блюда и приёмы пищи

# lithuanian | english | russian | hint
avižinė košė | oat porridge | овсяная каша | daiktavardis
blynai | pancakes | блины | daiktavardis
blyneliai su obuoliais | crepes with apples | блинчики с яблоками | daiktavardis
blyneliai su sūriu | crepes with cheese | блинчики с сыром | daiktavardis
blyneliai su uogiene | crepes with jam | блинчики с вареньем | daiktavardis
blynelis | crepe | блинчик | daiktavardis
bulvių blynai | potato pancakes | картофельные оладьи | daiktavardis
burokėlių sriuba | beetroot soup | свекольный суп | daiktavardis
cepelinai | potato dumplings (Lithuanian dish) | цеппелины | daiktavardis
daržovių salotos | vegetable salad | овощной салат | daiktavardis
daržovių sriuba | vegetable soup | овощной суп | daiktavardis
desertas | dessert | десерт | daiktavardis
dienos pietūs | set lunch | обед дня | daiktavardis
grybų sriuba | mushroom soup | грибной суп | daiktavardis
grikių košė | buckwheat porridge | гречневая каша | daiktavardis
jautienos kepsnys | beef roast | жаркое из говядины | daiktavardis
kepsnys | roast meat, grilled meat | жаркое | daiktavardis
kiaušinienė | fried eggs | яичница | daiktavardis
kiaušinienė su šonine | fried eggs with bacon | яичница с беконом | daiktavardis
kiaulienos kepsnys | pork roast | жаркое из свинины | daiktavardis
kopūstų salotos | cabbage salad | капустный салат | daiktavardis
košė | porridge | каша | daiktavardis
ledai | ice cream | мороженое | daiktavardis
lietuviški patiekalai | Lithuanian dishes | литовские блюда | daiktavardis
makaronai su sūriu | pasta with cheese | макароны с сыром | daiktavardis
medaus tortas | honey cake | медовый торт | daiktavardis
meniu | menu | меню | daiktavardis
omletas | omelette | омлет | daiktavardis
patiekalas | dish | блюдо | daiktavardis
pica | pizza | пицца | daiktavardis
pietūs | lunch | обед | daiktavardis
pomidorų salotos | tomato salad | салат из помидоров | daiktavardis
pusryčiai | breakfast | завтрак | daiktavardis
ryžiai su daržovėmis | rice with vegetables | рис с овощами | daiktavardis
salotos | salad | салат | daiktavardis
spurga | doughnut | пончик | daiktavardis
sriuba | soup | суп | daiktavardis
sumuštinis | sandwich | бутерброд | daiktavardis
šakotis | spit cake (Lithuanian dessert) | сакотис | daiktavardis
šaltibarščiai | cold beetroot soup | холодный борщ | daiktavardis
tortas | cake | торт | daiktavardis
vakarienė | supper | ужин | daiktavardis
vištienos kepsnys | chicken roast | жаркое из курицы | daiktavardis
