# Description: Транспорт и путешествия

# lithuanian | english | russian | hint
aikštelė | platform | платформа | daiktavardis
atvažiuoti | arrive | приехать | veiksmažodis
atvažiuoja | arrives | приезжает | veiksmažodis
atvažiavo | arrived | приехал | veiksmažodis
autobusas | bus | автобус | daiktavardis
autobuso bilietas | bus ticket | билет на автобус | daiktavardis
autobusų stotelė | bus stop | автобусная остановка | daiktavardis
autobusų tvarkaraštis | bus timetable | расписание автобусов | daiktavardis
autobusų stotis | bus station | автовокзал | daiktavardis
bagažas | luggage | багаж | daiktavardis
bilietas | ticket | билет | daiktavardis
bilietas pirmyn | one-way ticket | билет в одну сторону | daiktavardis
bilietas pirmyn ir atgal | return ticket | билет туда и обратно | daiktavardis
bilietas su nuolaida | discount ticket | льготный билет | daiktavardis
bilietų kasa | ticket office | касса | daiktavardis
dviratis | bicycle | велосипед | daiktavardis
elektroninis bilietas | e-ticket | электронный билет | daiktavardis
geležinkelio stotis | railway station | железнодорожный вокзал | daiktavardis
greitasis autobusas | high-speed bus | скоростной автобус | daiktavardis
greitasis traukinys | high-speed train | скоростной поезд | daiktavardis
įlipti | get on to / in | сесть (в транспорт) | veiksmažodis
įlipa | gets on to / in | садится (в транспорт) | veiksmažodis
įlipo | got on to / in | сел (в транспорт) | veiksmažodis
išlipti | get off | выйти (из транспорта) | veiksmažodis
išlipa | gets off | выходит (из транспорта) | veiksmažodis
išlipo | got off | вышел (из транспорта) | veiksmažodis
išvažiuoti | leave | уехать | veiksmažodis
išvažiuoja | leaves | уезжает | veiksmažodis
išvažiavo | left | уехал | veiksmažodis
keleivis | passenger | пассажир, пассажирка | daiktavardis
kelias | track, road | путь, дорога | daiktavardis
keliauti | travel | путешествовать | veiksmažodis
keliauja | travels | путешествует | veiksmažodis
keliavo | travelled | путешествовал | veiksmažodis
kelionė | travel, trip, journey | поездка, путешествие | daiktavardis
lėktuvas | plane | самолёт | daiktavardis
lipti | get on | садиться | veiksmažodis
lipa | gets on | садится | veiksmažodis
lipo | got on | сел | veiksmažodis
naktinis autobusas | night bus | ночной автобус | daiktavardis
nuvažiuoti | get somewhere by vehicle | доехать | veiksmažodis
nuvažiuoja | gets somewhere by vehicle | доезжает | veiksmažodis
nuvažiavo | got somewhere by vehicle | доехал | veiksmažodis
oro uostas | airport | аэропорт | daiktavardis
paspirtukas | scooter | самокат | daiktavardis
peronas | platform | перрон | daiktavardis
rezervacija | reservation | бронирование | daiktavardis
skristi | go by plane, fly | лететь | veiksmažodis
skrenda | flies | летит | veiksmažodis
skrido | flew | летел | veiksmažodis
stotelė | bus stop | остановка | daiktavardis
stotis | station | вокзал, станция | daiktavardis
traukinys | train | поезд | daiktavardis
troleibusas | trolleybus | троллейбус | daiktavardis
tvarkaraštis | timetable | расписание | daiktavardis
važiuoti | go (by transport) | ехать | veiksmažodis
važiuoja | goes (by transport) | едет | veiksmažodis
važiavo | went (by transport) | ехал | veiksmažodis
važinėti | ride | ездить | veiksmažodis
važinėja | rides | ездит | veiksmažodis
važinėjo | rode | ездил | veiksmažodis
viešasis transportas | public transport | общественный транспорт | daiktavardis
