# Description: Распространённые глаголы

# lithuanian | english | russian | hint
apsiauti | put on shoes | обуться | veiksmažodis
apsiauna | puts on shoes | обувается | veiksmažodis
apsiavė | put on shoes | обулся | veiksmažodis
apsirengti | dress oneself, put on | одеться | veiksmažodis
apsirengia | dresses oneself | одевается | veiksmažodis
apsirengė | dressed oneself | оделся | veiksmažodis
atidaryti | open | открыть | veiksmažodis
atidaro | opens | открывает | veiksmažodis
atidarė | opened | открыл | veiksmažodis
atrakinti | unlock | разблокировать, открыть | veiksmažodis
atrakina | unlocks | разблокирует | veiksmažodis
atrakino | unlocked | разблокировал | veiksmažodis
atsiimti | pick up | забрать | veiksmažodis
atsiima | picks up | забирает | veiksmažodis
atsiėmė | picked up | забрал | veiksmažodis
baigti | finish | закончить | veiksmažodis
baigia | finishes | заканчивает | veiksmažodis
baigė | finished | закончил | veiksmažodis
būti svečiuose | stay as a guest | быть в гостях | veiksmažodis
būti | be | быть | veiksmažodis
yra | is | есть | veiksmažodis
buvo | was | был | veiksmažodis
daryti | do, make | делать | veiksmažodis
daro | does, makes | делает | veiksmažodis
darė | did, made | делал | veiksmažodis
dėvėti | wear | носить (одежду) | veiksmažodis
dėvi | wears | носит (одежду) | veiksmažodis
dėvėjo | wore | носил (одежду) | veiksmažodis
dirbti | work | работать | veiksmažodis
dirba | works | работает | veiksmažodis
dirbo | worked | работал | veiksmažodis
dovanoti | give as a present | дарить | veiksmažodis
dovanoja | gives as a present | дарит | veiksmažodis
dovanojo | gave as a present | дарил | veiksmažodis
duoti | give | давать | veiksmažodis
duoda | gives | даёт | veiksmažodis
davė | gave | дал | veiksmažodis
eiti į svečius | visit | идти в гости | veiksmažodis
eiti pasivaikščioti | go for a walk | идти гулять | veiksmažodis
eiti | go (on foot) | идти | veiksmažodis
eina | goes (on foot) | идёт | veiksmažodis
ėjo | went (on foot) | шёл | veiksmažodis
gauti | get, receive | получать | veiksmažodis
gauna | gets, receives | получает | veiksmažodis
gavo | got, received | получил | veiksmažodis
gerti | drink | пить | veiksmažodis
geria | drinks | пьёт | veiksmažodis
gėrė | drank | пил | veiksmažodis
grąžinti | return | вернуть | veiksmažodis
grąžina | returns | возвращает | veiksmažodis
grąžino | returned | вернул | veiksmažodis
grįžti | return, come back | возвращаться | veiksmažodis
grįžta | returns, comes back | возвращается | veiksmažodis
grįžo | returned, came back | вернулся | veiksmažodis
gulėti | lie | лежать | veiksmažodis
guli | lies | лежит | veiksmažodis
gulėjo | lay | лежал | veiksmažodis
gyventi | live | жить | veiksmažodis
gyvena | lives | живёт | veiksmažodis
gyveno | lived | жил | veiksmažodis
ieškoti | look for | искать | veiksmažodis
ieško | looks for | ищет | veiksmažodis
ieškojo | looked for | искал | veiksmažodis
imti | take | брать | veiksmažodis
ima | takes | берёт | veiksmažodis
ėmė | took | взял | veiksmažodis
išjungti | switch off | выключить | veiksmažodis
išjungia | switches off | выключает | veiksmažodis
išjungė | switched off | выключил | veiksmažodis
išplauti | wash up | вымыть | veiksmažodis
išplauna | washes up | моет | veiksmažodis
išplovė | washed up | вымыл | veiksmažodis
išsiurbti | vacuum | пылесосить | veiksmažodis
išsiurbia | vacuums | пылесосит | veiksmažodis
išsiurbė | vacuumed | пропылесосил | veiksmažodis
išsiųsti | send | отправить | veiksmažodis
išsiunčia | sends | отправляет | veiksmažodis
išsiuntė | sent | отправил | veiksmažodis
išspausdinti | print out | распечатать | veiksmažodis
išspausdina | prints out | распечатывает | veiksmažodis
išspausdino | printed out | распечатал | veiksmažodis
išvalyti | clean up | убрать | veiksmažodis
išvalo | cleans up | убирает | veiksmažodis
išvalė | cleaned up | убрал | veiksmažodis
kalbėti | speak | говорить | veiksmažodis
kalba | speaks | говорит | veiksmažodis
kalbėjo | spoke | говорил | veiksmažodis
klausyti | listen | слушать | veiksmažodis
klauso | listens | слушает | veiksmažodis
klausė | listened | слушал | veiksmažodis
kviesti | invite | приглашать | veiksmažodis
kveičia | invites | приглашает | veiksmažodis
kvietė | invited | приглашал | veiksmažodis
mėgti | like | любить / нравиться | veiksmažodis
mėgsta | likes | любит | veiksmažodis
mėgo | liked | любил | veiksmažodis
miegoti | sleep | спать | veiksmažodis
miega | sleeps | спит | veiksmažodis
miegojo | slept | спал | veiksmažodis
mokėti | know | уметь, знать | veiksmažodis
moka | knows how | умеет | veiksmažodis
mokėjo | knew how | умел | veiksmažodis
mylėti | love | любить | veiksmažodis
myli | loves | любит | veiksmažodis
mylėjo | loved | любил | veiksmažodis
norėti | want | хотеть | veiksmažodis
nori | wants | хочет | veiksmažodis
norėjo | wanted | хотел | veiksmažodis
nueiti | get somewhere on foot | дойти | veiksmažodis
nueina | gets somewhere on foot | доходит | veiksmažodis
nuėjo | got somewhere on foot | дошёл | veiksmažodis
nuomoti | let, rent | сдавать / снимать | veiksmažodis
nuomoja | lets, rents | сдаёт / снимает | veiksmažodis
nuomojo | let, rented | сдавал / снимал | veiksmažodis
nuplauti | wash | помыть | veiksmažodis
nuplauna | washes | моет | veiksmažodis
nuplovė | washed | помыл | veiksmažodis
nusiauti | take off shoes | разуться | veiksmažodis
nusiauna | takes off shoes | разувается | veiksmažodis
nusiavė | took off shoes | разулся | veiksmažodis
nusirengti | undress, take off | раздеться | veiksmažodis
nusirengia | undresses | раздевается | veiksmažodis
nusirengė | undressed | разделся | veiksmažodis
padaryti | do | сделать | veiksmažodis
padaro | does | делает | veiksmažodis
padarė | did | сделал | veiksmažodis
paduoti | pass, give, hand | подать | veiksmažodis
paduoda | passes, gives | подаёт | veiksmažodis
padavė | passed, gave | подал | veiksmažodis
pailsėti | have a rest | отдохнуть | veiksmažodis
pailsi | has a rest | отдыхает | veiksmažodis
pailsėjo | had a rest | отдохнул | veiksmažodis
pakartoti | repeat | повторить | veiksmažodis
pakartoja | repeats | повторяет | veiksmažodis
pakartojo | repeated | повторил | veiksmažodis
pakeisti | change | изменить, поменять | veiksmažodis
pakeičia | changes | изменяет | veiksmažodis
pakeitė | changed | изменил | veiksmažodis
paklausi | ask | спросить | veiksmažodis
paklausia | asks | спрашивает | veiksmažodis
paklausė | asked | спросил | veiksmažodis
palaukti | wait | подождать | veiksmažodis
palaukia | waits | ждёт | veiksmažodis
palaukė | waited | подождал | veiksmažodis
pamiršti | forget | забыть | veiksmažodis
pamirša | forgets | забывает | veiksmažodis
pamiršo | forgot | забыл | veiksmažodis
parodyti | show | показать | veiksmažodis
parodo | shows | показывает | veiksmažodis
parodė | showed | показал | veiksmažodis
pasakyti | say, tell | сказать | veiksmažodis
pasako | says, tells | говорит | veiksmažodis
pasakė | said, told | сказал | veiksmažodis
pasirašyti | sign | подписать | veiksmažodis
pasirašo | signs | подписывает | veiksmažodis
pasirašė | signed | подписал | veiksmažodis
paskambinti | call, make a call | позвонить | veiksmažodis
paskambina | calls | звонит | veiksmažodis
paskambino | called | позвонил | veiksmažodis
paskolinti | lend | одолжить | veiksmažodis
paskolina | lends | одалживает | veiksmažodis
paskolino | lent | одолжил | veiksmažodis
pasukti | turn | повернуть | veiksmažodis
pasuka | turns | поворачивает | veiksmažodis
pasuko | turned | повернул | veiksmažodis
pataisyti | fix, repair | починить | veiksmažodis
pataiso | fixes, repairs | чинит | veiksmažodis
pataisė | fixed, repaired | починил | veiksmažodis
patikti | like, please | нравиться | veiksmažodis
patinka | pleases | нравится | veiksmažodis
patiko | pleased | понравился | veiksmažodis
pradėti | start, begin | начать | veiksmažodis
pradeda | starts, begins | начинает | veiksmažodis
pradėjo | started, began | начал | veiksmažodis
rašyti | write | писать | veiksmažodis
rašo | writes | пишет | veiksmažodis
rašė | wrote | писал | veiksmažodis
reikėti | need | нужно / нужен | veiksmažodis
reikia | is needed | нужно | veiksmažodis
reikėjo | was needed | было нужно | veiksmažodis
sėdėti | sit | сидеть | veiksmažodis
sėdi | sits | сидит | veiksmažodis
sėdėjo | sat | сидел | veiksmažodis
skalbti | wash (laundry) | стирать | veiksmažodis
skalbia | washes (laundry) | стирает | veiksmažodis
skalbė | washed (laundry) | стирал | veiksmažodis
skubėti | rush, hurry | торопиться | veiksmažodis
skuba | rushes, hurries | торопится | veiksmažodis
skubėjo | rushed, hurried | торопился | veiksmažodis
stovėti | stand | стоять | veiksmažodis
stovi | stands | стоит | veiksmažodis
stovėjo | stood | стоял | veiksmažodis
sugesti | break down | сломаться | veiksmažodis
sugenda | breaks down | ломается | veiksmažodis
sugedo | broke down | сломался | veiksmažodis
suprasti | understand | понимать | veiksmažodis
supranta | understands | понимает | veiksmažodis
suprato | understood | понял | veiksmažodis
susitikti | meet | встретиться | veiksmažodis
susitinka | meets | встречается | veiksmažodis
susitiko | met | встретился | veiksmažodis
sustoti | stop | остановиться | veiksmažodis
