# Description: Распространённые глаголы

# lithuanian | english | russian | hint
apsiauti, apsiauna, apsiavė | put on shoes | обуться | veiksmažodis
apsirengti, apsirengia, apsirengė | dress oneself, put on | одеться | veiksmažodis
atidaryti, atidaro, atidarė | open | открыть | veiksmažodis
atrakinti, atrakina, atrakino | unlock | разблокировать, открыть | veiksmažodis
atsiimti, atsiima, atsiėmė | pick up | забрать | veiksmažodis
baigti, baigia, baigė | finish | закончить | veiksmažodis
būti svečiuose | stay as a guest | быть в гостях | veiksmažodis
būti, yra, buvo | be | быть | veiksmažodis
daryti, daro, darė | do, make | делать | veiksmažodis
dėvėti, dėvi, dėvėjo | wear | носить (одежду) | veiksmažodis
dirbti, dirba, dirbo | work | работать | veiksmažodis
dovanoti, dovanoja, dovanojo | give as a present | дарить | veiksmažodis
duoti, duoda, davė | give | давать | veiksmažodis
eiti į svečius | visit | идти в гости | veiksmažodis
eiti pasivaikščioti | go for a walk | идти гулять | veiksmažodis
eiti, eina, ėjo | go (on foot) | идти | veiksmažodis
gauti, gauna, gavo | get, receive | получать | veiksmažodis
gerti, geria, gėrė | drink | пить | veiksmažodis
grąžinti, grąžina, grąžino | return | вернуть | veiksmažodis
grįžti, grįžta, grįžo | return, come back | возвращаться | veiksmažodis
gulėti, guli, gulėjo | lie | лежать | veiksmažodis
gyventi, gyvena, gyveno | live | жить | veiksmažodis
ieškoti, ieško, ieškojo | look for | искать | veiksmažodis
imti, ima, ėmė | take | брать | veiksmažodis
išjungti, išjungia, išjungė | switch off | выключить | veiksmažodis
išplauti, išplauna, išplovė | wash up | вымыть | veiksmažodis
išsiurbti, išsiurbia, išsiurbė | vacuum | пылесосить | veiksmažodis
išsiųsti, išsiunčia, išsiuntė | send | отправить | veiksmažodis
išspausdinti, išspausdina, išspausdino | print out | распечатать | veiksmažodis
išvalyti, išvalo, išvalė | clean up | убрать | veiksmažodis
kalbėti, kalba, kalbėjo | speak | говорить | veiksmažodis
klausyti, klauso, klausė | listen | слушать | veiksmažodis
kviesti, kveičia, kvietė | invite | приглашать | veiksmažodis
mėgti, mėgsta, mėgo | like | любить / нравиться | veiksmažodis
miegoti, miega, miegojo | sleep | спать | veiksmažodis
mokėti, moka, mokėjo | know | уметь, знать | veiksmažodis
mylėti, myli, mylėjo | love | любить | veiksmažodis
norėti, nori, norėjo | want | хотеть | veiksmažodis
nueiti, nueina, nuėjo | get somewhere on foot | дойти | veiksmažodis
nuomoti, nuomoja, nuomojo | let, rent | сдавать / снимать | veiksmažodis
nuplauti, nuplauna, nuplovė | wash | помыть | veiksmažodis
nusiauti, nusiauna, nusiavė | take off shoes | разуться | veiksmažodis
nusirengti, nusirengia, nusirengė | undress, take off | раздеться | veiksmažodis
padaryti, padaro, padarė | do | сделать | veiksmažodis
paduoti, paduoda, padavė | pass, give, hand | подать | veiksmažodis
pailsėti, pailsi, pailsėjo | have a rest | отдохнуть | veiksmažodis
pakartoti, pakartoja, pakartojo | repeat | повторить | veiksmažodis
pakeisti, pakeičia, pakeitė | change | изменить, поменять | veiksmažodis
paklausi, paklausia, paklausė | ask | спросить | veiksmažodis
palaukti, palaukia, palaukė | wait | подождать | veiksmažodis
pamiršti, pamirša, pamiršo | forget | забыть | veiksmažodis
parodyti, parodo, parodė | show | показать | veiksmažodis
pasakyti, pasako, pasakė | say, tell | сказать | veiksmažodis
pasirašyti, pasirašo, pasirašė | sign | подписать | veiksmažodis
paskambinti, paskambina, paskambino | call, make a call | позвонить | veiksmažodis
paskolinti, paskolina, paskolino | lend | одолжить | veiksmažodis
pasukti, pasuka, pasuko | turn | повернуть | veiksmažodis
pataisyti, pataiso, pataisė | fix, repair | починить | veiksmažodis
patikti, patinka, patiko | like, please | нравиться | veiksmažodis
pradėti, pradeda, pradėjo | start, begin | начать | veiksmažodis
rašyti, rašo, rašė | write | писать | veiksmažodis
reikėti, reikia, reikėjo | need | нужно / нужен | veiksmažodis
sėdėti, sėdi, sėdėjo | sit | сидеть | veiksmažodis
skalbti, skalbia, skalbė | wash (laundry) | стирать | veiksmažodis
skubėti, skuba, skubėjo | rush, hurry | торопиться | veiksmažodis
stovėti, stovi, stovėjo | stand | стоять | veiksmažodis
sugesti, sugenda, sugedo | break down | сломаться | veiksmažodis
suprasti, supranta, suprato | understand | понимать | veiksmažodis
susitikti, susitinka, susitiko | meet | встретиться | veiksmažodis
sustoti, sustoja, sustojo | stop | остановиться | veiksmažodis
sutvarkyti, sutvarko, sutvarkė | tidy up | убрать | veiksmažodis
turėti, turi, turėjo | have | иметь | veiksmažodis
uždaryti, uždaro, uždarė | close | закрыть | veiksmažodis
užrakinti, užrakina, užrakino | lock | запереть | veiksmažodis
vaikščioti, vaikščioja, vaikščiojo | walk | ходить | veiksmažodis
valgyti, valgo, valgė | eat | есть | veiksmažodis
valyti, valo, valė | clean, wipe | чистить, убирать | veiksmažodis
veikti, veikia, veikė | do, work, function | действовать, работать | veiksmažodis
vėluoti, vėluoja, vėlavo | be late | опаздывать | veiksmažodis
žaisti, žaidžia, žaidė | play | играть | veiksmažodis
žinoti, žino, žinojo | know | знать | veiksmažodis
žiūrėti televizorių | watch TV | смотреть телевизор | veiksmažodis
žiūrėti, žiūri, žiūrėjo | look, watch | смотреть | veiksmažodis
