# Description: Напитки

# lithuanian | english | russian | hint
ananasų sultys | pineapple juice | ананасовый сок | daiktavardis
apelsinų sultys | orange juice | апельсиновый сок | daiktavardis
arbata | tea | чай | daiktavardis
gazuotas vanduo | soda water | газированная вода | daiktavardis
gėrimas | drink | напиток | daiktavardis
gira | kvass | квас | daiktavardis
juoda arbata | black tea | чёрный чай | daiktavardis
kava | coffee | кофе | daiktavardis
kefyras | kefir | кефир | daiktavardis
kokteilis, -io | cocktail, shake | коктейль | daiktavardis
mėtų arbata | mint tea | мятный чай | daiktavardis
morkų sultys | carrot juice | морковный сок | daiktavardis
negazuotas vanduo | still water | негазированная вода | daiktavardis
obuolių sultys | apple juice | яблочный сок | daiktavardis
pienas | milk | молоко | daiktavardis
pomidorų sultys | tomato juice | томатный сок | daiktavardis
sultys | juice | сок | daiktavardis
vaisinė arbata | fruit tea | фруктовый чай | daiktavardis
vanduo | water | вода | daiktavardis
vynuogių sultys | grape juice | виноградный сок | daiktavardis
žalia arbata | green tea | зелёный чай | daiktavardis
žolelių arbata | herbal tea | травяной чай | daiktavardis
