# Description: Служебные слова и наречия

# lithuanian | english | russian | hint
ant | on | на | prielinksnis
apie | about | о, об | prielinksnis
arti | near | близко | prieveiksmis
bet | but | но | jungtukas
blogai | bad | плохо | prieveiksmis
čia | here | здесь | prieveiksmis
dažnai | often | часто | prieveiksmis
dešinėje | on the right | справа | prieveiksmis
draudžiama | prohibited | запрещено | prieveiksmis
galima | allowed | можно | prieveiksmis
gerai | fine, good | хорошо | prieveiksmis
greitai | fast | быстро | prieveiksmis
į dešinę | to the right | направо | prieveiksmis
į kairę | to the left | налево | prieveiksmis
iki | until | до | prielinksnis
ir | and | и | jungtukas
išskyrus | except for | кроме | prielinksnis
kairėje | on the left | слева | prieveiksmis
kaip | how | как | prieveiksmis
kartais | sometimes | иногда | prieveiksmis
kartu | together | вместе | prieveiksmis
kasdien | everyday | каждый день | prieveiksmis
labai | very much | очень | prieveiksmis
labiau | more | больше | prieveiksmis
ne | no | нет | dalelytė
niekada | never | никогда | prieveiksmis
nuo | from, since | от, с | prielinksnis
o | and | а | jungtukas
paprastai | usually | обычно | prieveiksmis
paskui | then | потом | prieveiksmis
per | during | через, за | prielinksnis
po | under, after | под, после | prielinksnis
prieš | before, some time ago | перед, назад | prielinksnis
retai | seldom | редко | prieveiksmis
šiaip sau | so-so | так себе | prieveiksmis
šie, šios | these | эти | įvardis
šis, ši | this | этот, эта | įvardis
taip | yes | да | dalelytė
taip pat | as well, too | тоже | prieveiksmis
tas, ta | that | тот, та | įvardis
tie, tos | those | те | įvardis
tiesiai | straight | прямо | prieveiksmis
toli | far | далеко | prieveiksmis
truputį | a little bit | немного | prieveiksmis
tuojau, tuoj | right away, immediately | сейчас, немедленно | prieveiksmis
už | for, behind | за | prielinksnis
visada | always | всегда | prieveiksmis
