# Description: Болезни и симптомы

# lithuanian | english | russian | hint
alergija | allergy | аллергия | daiktavardis
alergiškas, -a | allergic | аллергичный, -ая | būdvardis
angina | tonsillitis | ангина | daiktavardis
bronchitas | bronchitis | бронхит | daiktavardis
gripas | influenza (flu) | грипп | daiktavardis
karščiuoti, karščiuoja, karščiavo | have a fever | температурить | veiksmažodis
kosėti, kosėja, kosėjo | cough | кашлять | veiksmažodis
kosulys | cough | кашель | daiktavardis
liga | illness, disease | болезнь | daiktavardis
peršalti, peršąla, peršalo | catch a cold | простудиться | veiksmažodis
plaučių uždegimas | pneumonia | пневмония | daiktavardis
sirgti, serga, sirgo | be ill, sick | болеть | veiksmažodis
skaudėti, skauda, skaudėjo | have a pain, hurt, ache | болеть (о части тела) | veiksmažodis
sloga | common cold, runny nose | насморк | daiktavardis
temperatūra | temperature | температура | daiktavardis
turėti temperatūros | have a fever | иметь температуру | veiksmažodis
vemti, vemia, vėmė | vomit | рвать | veiksmažodis
viduriuoti, viduriuoja, viduriavo | have diarrhea | поносить | veiksmažodis
virusas | virus | вирус | daiktavardis
