# Description: Еда, напитки и блюда

# lithuanian | english | russian | hint
pienas | milk | молоко | daiktavardis
grietinė | sour cream | сметана | daiktavardis
jogurtas | yogurt | йогурт | daiktavardis
kefyras | kefir | кефир | daiktavardis
sūris | cheese | сыр | daiktavardis
sviestas | butter | масло | daiktavardis
varškė | curd / cottage cheese | творог | daiktavardis
duona | bread | хлеб | daiktavardis
juoda duona | brown bread / rye bread | чёрный хлеб | daiktavardis
šviesi duona | white bread | белый хлеб | daiktavardis
batonas | long loaf / baguette | батон | daiktavardis
bandelė | roll / bun | булочка | daiktavardis
medus | honey | мёд | daiktavardis
pyragas | pie / cake | пирог | daiktavardis
šokoladas | chocolate | шоколад | daiktavardis
spurga | doughnut | пончик | daiktavardis
tortas | cake / gateau | торт | daiktavardis
saldumynai | sweets / candy | сладости | daiktavardis
kiaušinis | egg | яйцо | daiktavardis
sumuštinis | sandwich | бутерброд | daiktavardis
košė | porridge | каша | daiktavardis
mėsa | meat | мясо | daiktavardis
jautiena | beef | говядина | daiktavardis
kalakutiena | turkey | индейка | daiktavardis
kiauliena | pork | свинина | daiktavardis
vištiena | chicken | курица | daiktavardis
dešra | sausage | колбаса | daiktavardis
dešrelės | sausages / frankfurters | сосиски | daiktavardis
kumpis | ham | ветчина | daiktavardis
žuvis | fish | рыба | daiktavardis
pusryčiai | breakfast | завтрак | daiktavardis
pietūs | lunch / dinner | обед | daiktavardis
vakarienė | supper / dinner | ужин | daiktavardis
gėrimai | drinks / beverages | напитки | daiktavardis
vanduo | water | вода | daiktavardis
arbata | tea | чай | daiktavardis
kava | coffee | кофе | daiktavardis
gira | kvass | квас | daiktavardis
sultys | juice | сок | daiktavardis
alkanas / alkana | hungry | голодный / голодная | būdvardis
sotus / soti | full / satisfied | сытый / сытая | būdvardis
skanus / skani | delicious / tasty | вкусный / вкусная | būdvardis
šiltas / šilta | warm | тёплый / тёплая | būdvardis
šaltas / šalta | cold | холодный / холодная | būdvardis
karštas / karšta | hot | горячий / горячая | būdvardis
keptas / kepta | baked / fried / roasted | жареный / жареная | būdvardis
virtas / virta | boiled / cooked | варёный / варёная | būdvardis
baltas / balta | white | белый / белая | būdvardis
juodas / juoda | black | чёрный / чёрная | būdvardis
geltonas / geltona | yellow | жёлтый / жёлтая | būdvardis
mėlynas / mėlyna | blue | синий / голубой | būdvardis
raudonas / raudona | red | красный / красная | būdvardis
