# Description: Ресторан, кафе и литовские блюда

# lithuanian | english | russian | hint
kepyklėlė | bakery | пекарня | daiktavardis
picerija | pizzeria | пиццерия | daiktavardis
padavėjas / padavėja | waiter / waitress | официант / официантка | daiktavardis
meniu | menu | меню | daiktavardis
dienos pietūs | set lunch / lunch special | бизнес-ланч / обед дня | daiktavardis
staliukas | table | столик | daiktavardis
sąskaita | bill / check | счёт | daiktavardis
patiekalas | dish / course | блюдо | daiktavardis
sriuba | soup | суп | daiktavardis
dienos sriuba | soup of the day | суп дня | daiktavardis
daržovių sriuba | vegetable soup | овощной суп | daiktavardis
grybų sriuba | mushroom soup | грибной суп | daiktavardis
burokėlių sriuba | beetroot soup | свекольный суп | daiktavardis
salotos | salad | салат | daiktavardis
daržovių salotos | vegetable salad | овощной салат | daiktavardis
pomidorų salotos | tomato salad | салат из помидоров | daiktavardis
kopūstų salotos | cabbage salad | капустный салат | daiktavardis
omletas | omelette | омлет | daiktavardis
kiaušinienė | fried eggs | яичница | daiktavardis
kiaušinienė su šonine | fried eggs with bacon | яичница с беконом | daiktavardis
sumuštinis su kumpiu ir salotomis | sandwich with ham and lettuce | бутерброд с ветчиной и салатом | daiktavardis
kepsnys | roast / grilled meat | жаркое / отбивная | daiktavardis
vištienos kepsnys | chicken roast | куриная отбивная | daiktavardis
kiaulienos kepsnys | pork roast | свиная отбивная | daiktavardis
jautienos kepsnys | beef roast | говяжья отбивная | daiktavardis
pica | pizza | пицца | daiktavardis
blynai | pancakes | блины / оладьи | daiktavardis
bulvių blynai | potato pancakes | картофельные блины / драники | daiktavardis
blynelis | crepe | блинчик | daiktavardis
blyneliai su sūriu | crepes with cheese | блинчики с сыром | daiktavardis
blyneliai su obuoliais | crepes with apples | блинчики с яблоками | daiktavardis
blyneliai su uogiene | crepes with jam | блинчики с вареньем | daiktavardis
makaronai | pasta | паста / макароны | daiktavardis
ryžiai | rice | рис | daiktavardis
avižinė košė | oat porridge | овсяная каша | daiktavardis
grikių košė | buckwheat porridge | гречневая каша | daiktavardis
desertas | dessert | десерт | daiktavardis
ledai | ice cream | мороженое | daiktavardis
pyragaitis | pastry | пирожное | daiktavardis
actas | vinegar | уксус | daiktavardis
aliejus | oil | масло (растительное) | daiktavardis
cukrus | sugar | сахар | daiktavardis
druska | salt | соль | daiktavardis
garstyčios | mustard | горчица | daiktavardis
krienai | horseradish | хрен | daiktavardis
majonezas | mayonnaise | майонез | daiktavardis
padažas | sauce / dressing | соус | daiktavardis
uogienė | jam | варенье / джем | daiktavardis
gazuotas vanduo | soda water / sparkling water | газированная вода | daiktavardis
negazuotas vanduo | still water | негазированная вода | daiktavardis
juoda arbata | black tea | чёрный чай | daiktavardis
žalia arbata | green tea | зелёный чай | daiktavardis
vaisinė arbata | fruit tea | фруктовый чай | daiktavardis
žolelių arbata | herbal tea | травяной чай | daiktavardis
mėtų arbata | mint tea | мятный чай | daiktavardis
kokteilis | cocktail / milkshake | коктейль | daiktavardis
obuolių sultys | apple juice | яблочный сок | daiktavardis
apelsinų sultys | orange juice | апельсиновый сок | daiktavardis
ananasų sultys | pineapple juice | ананасовый сок | daiktavardis
vynuogių sultys | grape juice | виноградный сок | daiktavardis
morkų sultys | carrot juice | морковный сок | daiktavardis
pomidorų sultys | tomato juice | томатный сок | daiktavardis
šakotis | spit cake (traditional Lithuanian) | шакотис (литовский пирог) | daiktavardis
šaltibarščiai | cold beetroot soup | холодный свекольный суп | lietuviškas patiekalas
cepelinai | potato dumplings (with meat / curd / mushrooms) | цепелинai (картофельные клёцки) | lietuviškas patiekalas
medaus tortas | honey cake | медовый торт | lietuviškas patiekalas
lietuviškos salotos | Lithuanian salad (Olivier style) | литовский салат (оливье) | lietuviškas patiekalas
aštrus / aštri | spicy / hot | острый / острая | būdvardis
švelnus / švelni | mild / gentle | мягкий / мягкая | būdvardis
sūrus / sūri | salty | солёный / солёная | būdvardis
