# Description: Распространённые глаголы

# lithuanian | english | russian | hint
kalbėti, kalba, kalbėjo | to speak | говорить | veiksmažodis
suprasti, supranta, suprato | to understand | понимать | veiksmažodis
gyventi, gyvena, gyveno | to live | жить | veiksmažodis
dirbti, dirba, dirbo | to work | работать | veiksmažodis
studijuoti, studijuoja, studijavo | to study | учиться / изучать | veiksmažodis
eiti, eina, ėjo | to go (on foot) | идти / ходить | veiksmažodis
važiuoti, važiuoja, važiavo | to go (by transport) | ехать / ездить | veiksmažodis
skubėti, skuba, skubėjo | to rush / to hurry | торопиться / спешить | veiksmažodis
vėluoti, vėluoja, vėlavo | to be late | опаздывать | veiksmažodis
susitikti, susitinka, susitiko | to meet | встретиться / встречаться | veiksmažodis
vaikščioti, vaikščioja, vaikščiojo | to walk | гулять / ходить пешком | veiksmažodis
mylėti, myli, mylėjo | to love | любить | veiksmažodis
mėgti, mėgsta, mėgo | to like | любить / нравиться | veiksmažodis
patikti, patinka, patiko | to like / to please | нравиться | veiksmažodis
norėti, nori, norėjo | to want | хотеть | veiksmažodis
žiūrėti, žiūri, žiūrėjo | to look / to watch | смотреть | veiksmažodis
sėdėti, sėdi, sėdėjo | to sit | сидеть | veiksmažodis
stovėti, stovi, stovėjo | to stand | стоять | veiksmažodis
turėti, turi, turėjo | to have | иметь | veiksmažodis
sportuoti, sportuoja, sportavo | to do sports | заниматься спортом | veiksmažodis
valgyti, valgo, valgė | to eat | есть / кушать | veiksmažodis
gerti, geria, gėrė | to drink | пить | veiksmažodis
ragauti, ragauja, ragavo | to taste / to try | пробовать | veiksmažodis
pusryčiauti, pusryčiauja, pusryčiavo | to have breakfast | завтракать | veiksmažodis
pietauti, pietauja, pietavo | to have lunch | обедать | veiksmažodis
vakarieniauti, vakarieniauja, vakarieniavo | to have supper | ужинать | veiksmažodis
imti, ima, ėmė | to take | брать | veiksmažodis
duoti, duoda, davė | to give | давать / дать | veiksmažodis
paduoti, paduoda, padavė | to pass / to hand | передать / подать | veiksmažodis
įdėti, įdeda, įdėjo | to put (in) | положить / добавить | veiksmažodis
įpilti, įpila, įpylė | to pour (in) | налить | veiksmažodis
pirkti, perka, pirko | to buy | покупать | veiksmažodis
daryti, daro, darė | to do / to make | делать | veiksmažodis
kepti, kepa, kepė | to fry / to bake / to grill | жарить / печь | veiksmažodis
virti, verda, virė | to boil / to cook | варить / готовить | veiksmažodis
matyti, mato, matė | to see | видеть | veiksmažodis
skaityti, skaito, skaitė | to read | читать | veiksmažodis
nešti, neša, nešė | to carry | нести / носить | veiksmažodis
ieškoti, ieško, ieškojo | to look for / to search | искать | veiksmažodis
laukti, laukia, laukė | to wait | ждать | veiksmažodis
mokytis, mokosi, mokėsi | to learn / to study | учиться | veiksmažodis
žaisti, žaidžia, žaidė | to play | играть | veiksmažodis
padovanoti, padovanoja, padovanojo | to give as a gift | подарить | veiksmažodis
