# Description: Права и свободы

# lithuanian | english | russian | hint
teisė | right | право | daiktavardis
teisės | rights / of the right | права | daiktavardis
laisvė | freedom | свобода | daiktavardis
laisvės | freedoms | свободы | daiktavardis
pilietis | citizen | гражданин | daiktavardis
piliečiai | citizens | граждане | daiktavardis
asmuo | person | лицо, человек | daiktavardis
asmenys | persons | лица, люди | daiktavardis
žmogus | human / person | человек | daiktavardis
nuosavybė | property | собственность | daiktavardis
tikėjimas | faith / belief | вера, убеждение | daiktavardis
organizacija | organization | организация | daiktavardis
bažnyčia | church | церковь | daiktavardis
sąžinė | conscience | совесть | daiktavardis
mintis | thought | мысль | daiktavardis
žodis | word / speech | слово | daiktavardis
susirinkimas | assembly / meeting | собрание | daiktavardis
informacija | information | информация | daiktavardis
neliečiamas | inviolable | неприкосновенный | būdvardis
religinė | religious | религиозный | būdvardis
politinis | political | политический | būdvardis
draudžiama | is forbidden | запрещается | veiksmažodis
laiduojama | is guaranteed | гарантируется | veiksmažodis
gina | defends / protects | защищает | veiksmažodis
saugo | guards / protects | охраняет | veiksmažodis
apsaugoti | to protect | защитить | veiksmažodis
globoja | takes care of | опекает | veiksmažodis
rūpinasi | takes care of | заботится | veiksmažodis
privalo | must / is obliged | обязан | veiksmažodis
negali | cannot | не может | veiksmažodis
reikšti | to express | выражать | veiksmažodis
skleisti | to spread / disseminate | распространять | veiksmažodis
pasirinkti | to choose | выбирать | veiksmažodis
kreiptis | to apply / address | обращаться | veiksmažodis
dalyvauti | to participate | участвовать | veiksmažodis
suimtas | arrested | арестован | būdvardis
laisvai | freely | свободно | prieveiksmis
