# Description: Государственные институты

# lithuanian | english | russian | hint
seimas | parliament (Seimas) | сейм (парламент) | daiktavardis
prezidentas | president | президент | daiktavardis
vyriausybė | government | правительство | daiktavardis
teismas | court | суд | daiktavardis
teismai | courts | суды | daiktavardis
ministras | minister | министр | daiktavardis
ministrai | ministers | министры | daiktavardis
pirmininkas | chairman / speaker | председатель | daiktavardis
valstybė | state | государство | daiktavardis
respublika | republic | республика | daiktavardis
konstitucinis teismas | constitutional court | конституционный суд | daiktavardis
aukščiausiasis teismas | supreme court | верховный суд | daiktavardis
apeliacinis teismas | appellate court | апелляционный суд | daiktavardis
bankas | bank | банк | daiktavardis
institucija | institution | учреждение, институт | daiktavardis
institucijos | institutions | учреждения | daiktavardis
valdyba | board / management | правление | daiktavardis
taryba | council | совет | daiktavardis
savivaldybė | municipality | самоуправление | daiktavardis
vadovauja | leads / heads | руководит | veiksmažodis
skiria | appoints | назначает | veiksmažodis
atleidžia | dismisses | освобождает от должности | veiksmažodis
steigia | establishes / founds | учреждает | veiksmažodis
sudaro | forms / constitutes | составляет, формирует | veiksmažodis
prižiūri | supervises | контролирует, надзирает | veiksmažodis
vykdo | executes / carries out | исполняет | veiksmažodis
