# Description: Общество и культура

# lithuanian | english | russian | hint
visuomenė | society | общество | daiktavardis
kultūra | culture | культура | daiktavardis
mokslas | science / education | наука, образование | daiktavardis
švietimas | education | просвещение | daiktavardis
mokykla | school | школа | daiktavardis
auklėjimas | upbringing | воспитание | daiktavardis
vaikas | child | ребёнок | daiktavardis
vaikai | children | дети | daiktavardis
šeima | family | семья | daiktavardis
tėvai | parents | родители | daiktavardis
sveikata | health | здоровье | daiktavardis
kalba | language / speech | язык | daiktavardis
lietuvių kalba | Lithuanian language | литовский язык | daiktavardis
pilietybė | citizenship | гражданство | daiktavardis
tautybė | nationality | национальность | daiktavardis
tradicija | tradition | традиция | daiktavardis
istorija | history | история | daiktavardis
spauda | press | пресса | daiktavardis
žiniasklaida | media | СМИ, средства массовой информации | daiktavardis
savivaldybė | municipality | самоуправление | daiktavardis
savivalda | self-governance | местное самоуправление | daiktavardis
socialinis | social | социальный | būdvardis
